,tweet_id,is-retweet,is-pinned,external-link,quoted-post,hashtags
0,0,0,1,No_External_Link,No_Quoted_post,[]
1,1,0,0,No_External_Link,No_Quoted_post,['#Budget2024']
2,2,0,0,http://www.commbank.com.au/federalbudget,No_Quoted_post,['#Budget2024']
3,3,0,0,No_External_Link,No_Quoted_post,[]
4,4,0,0,No_External_Link,No_Quoted_post,[]
5,5,0,0,No_External_Link,No_Quoted_post,[]
6,6,0,0,No_External_Link,No_Quoted_post,[]
7,7,0,0,No_External_Link,No_Quoted_post,[]
8,8,0,0,No_External_Link,No_Quoted_post,[]
9,9,0,0,No_External_Link,No_Quoted_post,[]
10,10,0,0,No_External_Link,"{'link': 'https://twitter.com/AusWomenCricket/status/1772527834231439478#m', 'text': ""Aussie fans, you're in for a treat!  Bring on an epic summer at some of the biggest and best cricket grounds in Australia 🏟️ cricketa.us/Aussie-Women-Sch…"", 'user': {'name': ""Australian Women's Cricket Team 🏏"", 'username': '@AusWomenCricket', 'profile_id': '872354891741745153', 'avatar': 'https://pbs.twimg.com/profile_images/872354891741745153/uWUmR8nX_mini.jpg'}, 'date': 'Mar 26, 2024 · 7:35 AM UTC', 'pictures': ['https://pbs.twimg.com/media/GJlIE27aYAAc1BG.jpg'], 'videos': [], 'gifs': []}",[]
11,11,0,0,No_External_Link,"{'link': 'https://twitter.com/CommBank/status/1767526301580341578#m', 'text': ""1/3: We're aware some customers are having difficulty viewing current balances or making payments in the CommBank app. NetBank is also unavailable. We're currently investigating and are working hard to get it fixed."", 'user': {'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_mini.jpg'}, 'date': 'Mar 12, 2024 · 12:21 PM UTC', 'pictures': [], 'videos': [], 'gifs': []}",[]
12,12,0,0,No_External_Link,No_Quoted_post,[]
13,13,0,0,No_External_Link,No_Quoted_post,[]
14,14,0,0,No_External_Link,No_Quoted_post,[]
15,15,0,0,No_External_Link,"{'link': 'https://twitter.com/AusWomenCricket/status/1765903888337760449#m', 'text': 'We’re all about inspiring the next gen!  Last month a few keen young cricketers from Weston Creek Molonglo Cricket Club in Canberra caught up with some of our Aussie girls before walking out to Manuka Oval as the @CommBank Mini Mates! #IWD2024', 'user': {'name': ""Australian Women's Cricket Team 🏏"", 'username': '@AusWomenCricket', 'profile_id': '872354891741745153', 'avatar': 'https://pbs.twimg.com/profile_images/872354891741745153/uWUmR8nX_mini.jpg'}, 'date': 'Mar 8, 2024 · 12:54 AM UTC', 'pictures': [], 'videos': ['https://video.twimg.com/ext_tw_video/1765891778606252032/pu/vid/avc1/720x1280/gQohFeFyQnuskjcT.mp4?tag=12'], 'gifs': []}",['#IWD2024']
16,16,0,0,No_External_Link,No_Quoted_post,[]
17,17,0,0,No_External_Link,No_Quoted_post,[]
18,18,0,0,No_External_Link,No_Quoted_post,[]
19,19,0,0,No_External_Link,No_Quoted_post,[]
20,20,0,0,No_External_Link,No_Quoted_post,[]
21,21,0,0,No_External_Link,No_Quoted_post,[]
22,22,0,0,No_External_Link,No_Quoted_post,['#ValentinesDay']
23,23,0,0,No_External_Link,No_Quoted_post,[]
24,24,0,0,No_External_Link,No_Quoted_post,[]
25,25,0,0,No_External_Link,No_Quoted_post,['#SaferInternetDay']
26,26,0,0,No_External_Link,No_Quoted_post,[]
27,27,0,0,No_External_Link,No_Quoted_post,[]
28,28,0,0,No_External_Link,No_Quoted_post,[]
29,29,0,0,No_External_Link,No_Quoted_post,[]
30,30,0,0,No_External_Link,No_Quoted_post,[]
31,31,0,0,No_External_Link,No_Quoted_post,[]
32,32,0,0,No_External_Link,No_Quoted_post,[]
33,33,0,0,No_External_Link,No_Quoted_post,[]
34,34,0,0,No_External_Link,No_Quoted_post,[]
35,35,0,0,No_External_Link,No_Quoted_post,[]
36,36,0,0,No_External_Link,No_Quoted_post,[]
37,37,0,0,No_External_Link,No_Quoted_post,[]
38,38,0,0,No_External_Link,No_Quoted_post,[]
39,39,0,0,No_External_Link,No_Quoted_post,[]
40,40,0,0,No_External_Link,No_Quoted_post,[]
